"","Survived","Pclass","Name","Sex","Age","SibSp","Parch","Ticket","Fare","Cabin","Embarked"
"745","Survived",3,"Stranden, Mr. Juho","Male",31,0,0,"STON/O 2. 3101288",7.925,"","Southampton"
"748","Survived",2,"Sinkkonen, Miss. Anna","Female",30,0,0,"250648",13,"","Southampton"
"751","Survived",2,"Wells, Miss. Joan","Female",4,1,1,"29103",23,"","Southampton"
"752","Survived",3,"Moor, Master. Meier","Male",6,0,1,"392096",12.475,"E121","Southampton"
"755","Survived",2,"Herman, Mrs. Samuel (Jane Laver)","Female",48,1,2,"220845",65,"","Southampton"
"756","Survived",2,"Hamalainen, Master. Viljo","Male",0.67,1,1,"250649",14.5,"","Southampton"
"760","Survived",1,"Rothes, the Countess. of (Lucy Noel Martha Dyer-Edwards)","Female",33,0,0,"110152",86.5,"B77","Southampton"
"763","Survived",3,"Barah, Mr. Hanna Assi","Male",20,0,0,"2663",7.2292,"","Cherbourg"
"764","Survived",1,"Carter, Mrs. William Ernest (Lucile Polk)","Female",36,1,2,"113760",120,"B96 B98","Southampton"
"766","Survived",1,"Hogeboom, Mrs. John C (Anna Andrews)","Female",51,1,0,"13502",77.9583,"D11","Southampton"
"775","Survived",2,"Hocking, Mrs. Elizabeth (Eliza Needs)","Female",54,1,3,"29105",23,"","Southampton"
"778","Survived",3,"Emanuel, Miss. Virginia Ethel","Female",5,0,0,"364516",12.475,"","Southampton"
"780","Survived",1,"Robert, Mrs. Edward Scott (Elisabeth Walton McMillan)","Female",43,0,1,"24160",211.3375,"B3","Southampton"
"781","Survived",3,"Ayoub, Miss. Banoura","Female",13,0,0,"2687",7.2292,"","Cherbourg"
"782","Survived",1,"Dick, Mrs. Albert Adrian (Vera Gillespie)","Female",17,1,0,"17474",57,"B20","Southampton"
"787","Survived",3,"Sjoblom, Miss. Anna Sofia","Female",18,0,0,"3101265",7.4958,"","Southampton"
"789","Survived",3,"Dean, Master. Bertram Vere","Male",1,1,2,"C.A. 2315",20.575,"","Southampton"
"797","Survived",1,"Leader, Dr. Alice (Farnham)","Female",49,0,0,"17465",25.9292,"D17","Southampton"
"798","Survived",3,"Osman, Mrs. Mara","Female",31,0,0,"349244",8.6833,"","Southampton"
"802","Survived",2,"Collyer, Mrs. Harvey (Charlotte Annie Tate)","Female",31,1,1,"C.A. 31921",26.25,"","Southampton"
"803","Survived",1,"Carter, Master. William Thornton II","Male",11,1,2,"113760",120,"B96 B98","Southampton"
"804","Survived",3,"Thomas, Master. Assad Alexander","Male",0.42,0,1,"2625",8.5167,"","Cherbourg"
"805","Survived",3,"Hedman, Mr. Oskar Arvid","Male",27,0,0,"347089",6.975,"","Southampton"
"810","Survived",1,"Chambers, Mrs. Norman Campbell (Bertha Griggs)","Female",33,1,0,"113806",53.1,"E8","Southampton"
"821","Survived",1,"Hays, Mrs. Charles Melville (Clara Jennings Gregg)","Female",52,1,1,"12749",93.5,"B69","Southampton"
"822","Survived",3,"Lulic, Mr. Nikola","Male",27,0,0,"315098",8.6625,"","Southampton"
"824","Survived",3,"Moor, Mrs. (Beila)","Female",27,0,1,"392096",12.475,"E121","Southampton"
"828","Survived",2,"Mallet, Master. Andre","Male",1,0,2,"S.C./PARIS 2079",37.0042,"","Cherbourg"
"831","Survived",3,"Yasbeck, Mrs. Antoni (Selini Alexander)","Female",15,1,0,"2659",14.4542,"","Cherbourg"
"832","Survived",2,"Richards, Master. George Sibley","Male",0.83,1,1,"29106",18.75,"","Southampton"
"836","Survived",1,"Compton, Miss. Sara Rebecca","Female",39,1,1,"PC 17756",83.1583,"E49","Cherbourg"
"839","Survived",3,"Chip, Mr. Chang","Male",32,0,0,"1601",56.4958,"","Southampton"
"843","Survived",1,"Serepeca, Miss. Augusta","Female",30,0,0,"113798",31,"","Cherbourg"
"854","Survived",1,"Lines, Miss. Mary Conover","Female",16,0,1,"PC 17592",39.4,"D28","Southampton"
"856","Survived",3,"Aks, Mrs. Sam (Leah Rosen)","Female",18,0,1,"392091",9.35,"","Southampton"
"857","Survived",1,"Wick, Mrs. George Dennick (Mary Hitchcock)","Female",45,1,1,"36928",164.8667,"","Southampton"
"858","Survived",1,"Daly, Mr. Peter Denis ","Male",51,0,0,"113055",26.55,"E17","Southampton"
"859","Survived",3,"Baclini, Mrs. Solomon (Latifa Qurban)","Female",24,0,3,"2666",19.2583,"","Cherbourg"
"863","Survived",1,"Swift, Mrs. Frederick Joel (Margaret Welles Barron)","Female",48,0,0,"17466",25.9292,"D17","Southampton"
"866","Survived",2,"Bystrom, Mrs. (Karolina)","Female",42,0,0,"236852",13,"","Southampton"
"867","Survived",2,"Duran y More, Miss. Asuncion","Female",27,1,0,"SC/PARIS 2149",13.8583,"","Cherbourg"
"870","Survived",3,"Johnson, Master. Harold Theodor","Male",4,1,1,"347742",11.1333,"","Southampton"
"872","Survived",1,"Beckwith, Mrs. Richard Leonard (Sallie Monypeny)","Female",47,1,1,"11751",52.5542,"D35","Southampton"
"875","Survived",2,"Abelson, Mrs. Samuel (Hannah Wizosky)","Female",28,1,0,"P/PP 3381",24,"","Cherbourg"
"876","Survived",3,"Najib, Miss. Adele Kiamie ""Jane""","Female",15,0,0,"2667",7.225,"","Cherbourg"
"880","Survived",1,"Potter, Mrs. Thomas Jr (Lily Alexenia Wilson)","Female",56,0,1,"11767",83.1583,"C50","Cherbourg"
"881","Survived",2,"Shelley, Mrs. William (Imanita Parrish Hall)","Female",25,0,1,"230433",26,"","Southampton"
"888","Survived",1,"Graham, Miss. Margaret Edith","Female",19,0,0,"112053",30,"B42","Southampton"
"890","Survived",1,"Behr, Mr. Karl Howell","Male",26,0,0,"111369",30,"C148","Cherbourg"
